ACRES,,BOROUGH,ZIPCODE
0.059,,M,10009
0.072,,M,10029
0.119,,M,10009
0.06,,M,10002
0.106,,M,10009
0.845,,R,10301
2.223,,R,10312
0.09,,X,10461
0.112,,M,10031
0.069,,M,10031
0.063,,M,10009
0.096,,M,10009
0.178,,M,10009
0.388,,M,10009
0.169,,M,10009
0.095,,M,10024
0.034,,M,10027
0.172,,X,10459
0.09,,M,10039
1.314,,B,11215
0.736,,B,11215
0.045,,B,11223
0.312,,B,11201
0.019,,B,11234
0.004,,Q,11377
0.221,,Q,11354
0.036,,Q,11435
0.002,,Q,11101
0.104,,Q,11420
0.565,,Q,11693
1.529,,Q,11378
0.299,,B,11221
0.048,,Q,11101
0.57,,B,11211
5.323,,Q,"11559, 11691"
0.961,,Q,11691
0.024,,Q,11358
0.732,,Q,11377
0.055,,Q,11420
0.084,,Q,11417
0.041,,Q,11368
0.006,,Q,11420
0.054,,Q,11416
0.03,,Q,11428
0.02,,Q,11415
2.982,,B,11211
0.047,,Q,11369
0.166,,Q,11385
0.06,,Q,11354
8.899,,Q,11378
0.658,,Q,11354
2.937,,Q,11420
0.062,,Q,11378
0.42,,X,10459
0.008,,Q,11417
0.05,,Q,11421
0.005,,Q,11385
0.032,,Q,11369
47.57,,B,11238
0.002,,Q,11373
0.254,,Q,11377
0.027,,Q,11374
0.003,,Q,11373
0.01,,Q,11385
0.026,,B,11201
0.28,,X,10456
0.003,,B,11231
1.171,,B,11205
0.901,,B,11205
0.32,,Q,11429
0.76,,Q,11694
0.1,,Q,11101
0.29,,B,11233
2.857,,Q,11373
0.002,,Q,11373
0.029,,B,11219
0.68,,M,10002
0.027,,B,11237
2.075,,X,10473
3.903,,R,10305
0.063,,M,10035
0.467,,Q,11377
0.01,,Q,11101
1.71,,Q,11377
0.196,,Q,11368
1.102,,Q,11413
1.785,,Q,11422
0.231,,R,10309
0.3,,R,10304
0.124,,R,10310
8.607,,X,"10453, 10468"
1.707,,X,10462
0.607,,M,10012
89.946,,Q,"11413, 11422"
0.08,,Q,11101
0.059,,Q,11433
0.37,,B,11211
0.237,,B,11211
3.5,,X,10471
1.25,,R,10312
161.242,,R,10314
1.874,,B,11231
217.543,,R,10312
206.717,,X,"10460, 10466, 10467, 10470, 10472, 10473, 10704"
0.322,,B,11213
0.333,,B,11233
0.345,,M,10032
0.262,,M,10014
39.13085296,,R,"10301, 10314"
87.516,,R,10314
1.137,,R,10304
4.22,,R,10312
9.763,,R,10307
0.079,,M,10014
17.14,,B,"11213, 11233"
0.057,,B,11223
0.017,,B,11208
0.705,,B,11208
0.622,,B,11208
1.115,,R,10304
2.783,,B,11237
22.882,,R,10308
2.878,,B,11201
0.295,,B,11233
0.042,,X,10462
118.795,,B,"11234, 11236"
8.639,,M,10128
0.995,,X,10474
0.717,,X,10474
1.28,,Q,11355
18.768,,Q,11693
85.527,,B,11214
2.944,,B,11224
0.65,,M,10016
2.372,,B,11235
0.074,,B,11216
0.19,,B,11212
6.873,,B,11237
0.459,,B,11212
0.275,,B,11208
0.181,,B,11208
0.44,,B,11225
0.344,,B,11208
36.493,,B,"11211, 11222"
1.58,,M,10029
210.928,,R,10314
36.81,,B,11214
6.1,,X,10464
269.415,,X,10473
3.32,,Q,11385
0.61,,M,10002
1.016,,Q,11385
0.402,,Q,11413
0.185,,Q,11429
0.177,,B,11238
0.115,,B,11211
0.089,,B,11211
16.505,,R,10304
0.492,,Q,11101
0.049,,Q,11421
0.049,,R,10309
0.025,,X,10465
0.63,,X,10452
0.03,,X,"10463, 10468"
0.191,,Q,11364
0.109,,M,10032
1.226,,Q,11693
0.553,,Q,11362
0.082,,B,11217
0.184,,B,11218
1.095,,B,11233
1.698,,M,10002
2.327,,Q,11369
26.042,,M,"10007, 10013, 10280"
0.765,,R,10304
0.184,,R,10312
3.089,,M,"10021, 10028, 10065, 10075"
20.907,,R,10308
0.207,,R,10302
0.15,,B,11234
1.178,,R,10309
0.078,,B,11234
0.076,,B,11223
0.02,,B,11230
0.006,,B,11204
0.313,,X,10454
0.047,,M,10012
0.44,,X,10452
0.494,,X,10452
0.061,,X,10452
5.739,,B,11201
0.778,,Q,11102
1.78,,Q,11368
0.18,,Q,11368
4.427,,Q,11413
0.809,,Q,11105
0.1,,Q,11103
0.811,,M,10031
0.518,,Q,11101
0.054,,M,10029
0.057,,M,10029
37.95,,Q,"11693, 11693, 11693, 11693"
0.038,,X,10457
0.1,,Q,11694
3.312,,M,10021
1.868,,X,10460
3.195,,R,10301
0.745,,X,10458
0.116,,M,10029
0.375,,Q,11377
0.03,,Q,11369
0.026,,Q,11369
6.05,,Q,11360
0.12,,X,10474
0.464,,Q,11370
1.648,,Q,11357
0.012,,X,10452
111.32,,R,"10308, 10312"
0.181,,Q,11693
63.636,,B,"11213, 11216, 11225, 11233, 11238"
1.438,,X,10457
181.923,,R,10314
45.937,,Q,"11365, 11366"
0.316,,X,10457
0.13,,X,10457
1.275,,M,10009
17.581,,M,10024
0.07,,X,10456
0.16,,X,10459
0.27,,X,10456
13.75,,Q,11691
7.122,,Q,11691
184.143,,M,"10032, 10033, 10034"
2.49,,X,10474
